Demo,Device Analysis Template Training,,,,,,
Var1,Vg,,,,,,
Var2,Vd,,,,,,
Legend,Vd=0.5V,Vd=1V,Vd=1.5V,Vd=2V,Vd=2.5V,Vd=3V,
Vg (V),Id (A),Id (A),Id (A),Id (A),Id (A),Id (A),
0.0,4.5E-13,8.0E-13,1.2E-12,1.6E-12,2.0E-12,2.4E-12,
0.2,1.2E-12,2.2E-12,3.7E-12,5.0E-12,6.3E-12,8.1E-12,
0.4,4.1E-12,7.4E-12,1.2E-11,1.6E-11,2.1E-11,2.7E-11,
0.6,1.2E-11,2.2E-11,3.4E-11,4.6E-11,5.8E-11,7.5E-11,
0.8,3.3E-11,5.9E-11,8.8E-11,1.1E-10,1.4E-10,1.8E-10,
1.0,8.1E-11,1.5E-10,2.1E-10,2.7E-10,3.3E-10,4.0E-10,
1.2,2.0E-10,3.7E-10,4.9E-10,6.1E-10,7.3E-10,8.7E-10,
1.4,4.2E-10,7.4E-10,9.7E-10,1.2E-09,1.4E-09,1.7E-09,
1.6,8.2E-10,1.4E-09,1.9E-09,2.3E-09,2.7E-09,3.1E-09,
1.8,1.4E-09,2.4E-09,3.1E-09,3.8E-09,4.4E-09,5.1E-09,
2.0,2.2E-09,3.7E-09,4.8E-09,5.8E-09,6.7E-09,7.7E-09,
